year,avg_temp_c
1950.0,15.1
1955.0,15.5
1960.0,15.4
1965.0,14.6
1970.0,15.2
1975.0,15.6
1980.0,15.4
1985.0,15.7
1990.0,17.0
1995.0,16.3
2000.0,16.9
2005.0,16.2
2010.0,16.9
2015.0,16.4
2018.0,16.8
2019.0,16.5
2020.0,16.5
2021.0,16.6
2022.0,16.4
2023.0,17.6
2024.0,17.6
