era_year,year,admin_level_area,area_code_area,district_jp_area,district_en,mark_area,area_km2,permillage_pct,admin_level_use,area_code_use,district_jp_use,mark_use,total_ha,residential_ha,other_use_ha,other_use_outdoor_ha,parks_ha,unused_land_ha,roads_total_ha,roads_of_which_roads_ha,farmland_ha,water_rivers_canals_ha,forests_ha,fields_ha,green_ratio_pct
令和6,2024.0,3.0,13208.0,調布市,Chofu-shi,,21.58,9.81,1,13208.0,調布市,,2159.4,1248.5,48.9,48.3,181.9,37.3,369.7,334.3,120.2,48.1,40.0,64.9,8.42
令和6,2024.0,3.0,13209.0,町田市,Machida-shi,,71.55,32.52,1,13209.0,町田市,,7159.6,3300.7,230.6,228.5,448.7,126.4,1048.9,1028.9,459.0,72.8,1267.2,205.4,6.27
令和6,2024.0,3.0,13210.0,小金井市,Koganei-shi,,11.3,5.14,1,13210.0,小金井市,,1132.3,730.2,21.5,21.2,100.3,14.5,181.2,169.7,61.1,12.4,8.5,2.6,8.86
令和6,2024.0,3.0,13211.0,小平市,Kodaira-shi,,20.51,9.32,1,13211.0,小平市,,2045.4,1270.7,75.8,65.8,147.7,24.0,317.9,301.1,168.5,7.3,31.4,2.2,7.22
令和6,2024.0,3.0,13212.0,日野市,Hino-shi,,27.55,12.52,1,13212.0,日野市,,2741.6,1289.0,90.5,89.3,147.9,75.9,461.1,428.4,128.4,85.7,180.8,282.1,5.39
令和6,2024.0,3.0,13213.0,東村山市,Higashimurayama-shi,,17.14,7.79,1,13213.0,東村山市,,1715.5,978.0,67.1,66.0,100.7,38.5,275.2,254.9,146.7,16.9,70.8,21.6,5.87
令和6,2024.0,3.0,13214.0,国分寺市,Kokubunji-shi,,11.46,5.21,1,13214.0,国分寺市,,1153.9,719.6,41.1,40.7,32.3,21.4,181.6,170.0,128.5,2.4,23.2,3.9,2.8
令和6,2024.0,3.0,13215.0,国立市,Kunitachi-shi,,8.15,3.7,1,13215.0,国立市,,815.9,513.6,28.4,26.7,21.9,13.7,151.8,145.5,53.6,9.3,6.7,16.9,2.68
令和6,2024.0,3.0,13218.0,福生市,Fussa-shi,,10.16,4.62,1,13218.0,福生市,,1018.4,386.0,367.1,47.8,38.7,10.3,137.6,126.9,13.9,11.5,17.4,36.0,3.8
令和6,2024.0,3.0,13219.0,狛江市,Komae-shi,,6.39,2.9,1,13219.0,狛江市,,642.8,395.9,14.9,14.7,23.8,7.0,109.6,106.2,31.4,23.9,5.7,30.5,3.7
令和6,2024.0,3.0,13220.0,東大和市,Higashiyamato-shi,,13.42,6.1,1,13220.0,東大和市,,1353.4,579.5,51.7,48.6,91.0,35.5,191.9,188.8,61.0,147.5,193.3,2.2,6.72
令和6,2024.0,3.0,13221.0,清瀬市,Kiyose-shi,,10.23,4.65,1,13221.0,清瀬市,,1012.0,519.9,30.8,29.8,34.4,25.8,153.7,145.1,186.7,7.9,35.6,17.1,3.4
令和6,2024.0,3.0,13222.0,東久留米市,Higashikurume-shi,,12.88,5.85,1,13222.0,東久留米市,,1288.8,752.7,43.8,43.5,53.5,20.5,221.4,218.9,147.8,7.8,32.9,8.3,4.15
令和6,2024.0,3.0,13223.0,武蔵村山市,Musashimurayama-shi,,15.32,6.96,1,13223.0,武蔵村山市,,1542.9,670.3,156.3,57.2,38.2,87.9,182.4,182.4,184.0,10.4,206.2,7.2,2.48
令和6,2024.0,3.0,13224.0,多摩市,Tama-shi,,21.01,9.55,1,13224.0,多摩市,,2107.3,932.5,68.2,67.2,303.5,53.6,403.7,386.0,33.8,40.6,139.6,131.9,14.4
令和6,2024.0,3.0,13225.0,稲城市,Inagi-shi,,17.97,8.17,1,13225.0,稲城市,,1797.0,576.8,184.4,55.6,278.3,107.6,264.2,248.5,121.4,27.5,175.3,61.4,15.49
令和6,2024.0,3.0,13227.0,羽村市,Hamura-shi,,9.9,4.5,1,13227.0,羽村市,,995.7,570.9,85.8,44.2,41.9,22.4,150.3,145.1,37.7,23.9,17.3,45.5,4.21
令和6,2024.0,3.0,13228.0,あきる野市,Akiruno-shi,,73.47,33.4,1,13228.0,あきる野市,,7342.4,1010.2,157.4,102.6,287.8,101.2,363.9,355.4,457.2,142.0,4553.5,269.0,3.92
令和6,2024.0,3.0,13229.0,西東京市,Nishitokyo-shi,,15.75,7.16,1,13229.0,西東京市,,1590.9,1004.7,51.3,51.1,73.1,26.6,284.5,274.4,133.2,4.5,10.3,2.7,4.59
令和6,2024.0,1.0,13300.0,郡部,All gun,,375.86,170.85,0,13300.0,郡部,,37561.2,1147.3,647.6,173.2,105.2,109.8,529.7,517.6,638.0,581.3,33643.6,158.7,0.28
令和6,2024.0,3.0,13303.0,瑞穂町,Mizuho-machi,,16.85,7.66,1,13303.0,瑞穂町,,1683.8,537.0,308.4,87.2,39.7,47.9,171.4,166.5,257.1,5.1,309.2,8.0,2.36
令和6,2024.0,3.0,13305.0,日の出町,Hinode-machi,,28.07,12.76,1,13305.0,日の出町,,2805.2,339.2,91.9,39.9,38.1,36.8,111.9,111.9,129.8,25.7,1978.6,53.1,1.36
令和6,2024.0,3.0,13307.0,檜原村,Hinohara-mura,,105.41,47.91,1,13307.0,檜原村,,10537.9,99.1,52.0,14.9,4.8,7.2,91.3,91.3,154.4,50.7,10014.2,64.2,0.05
令和6,2024.0,3.0,13308.0,奥多摩町,Okutama-machi,,225.53,102.52,1,13308.0,奥多摩町,,22534.3,172.0,195.3,31.4,22.6,17.9,155.0,147.8,96.7,499.8,21341.6,33.5,0.1
令和6,2024.0,1.0,13350.0,島部,All islands,,412.61,187.56,0,13350.0,島部,,33482.4,1212.3,332.6,258.6,257.4,200.3,1059.0,745.6,1670.0,67.7,21967.1,6716.1,0.77
令和6,2024.0,3.0,13361.0,大島町,Oshima-machi,,90.76,41.26,1,13361.0,大島町,,9077.9,453.7,90.8,87.7,101.6,53.0,299.1,217.7,330.6,17.0,5805.6,1926.4,1.12
令和6,2024.0,3.0,13362.0,利島村,Toshima-mura,,4.04,1.84,1,13362.0,利島村,,406.0,15.3,2.9,2.9,2.9,0.3,18.4,11.2,9.2,0.1,273.5,83.3,0.71
令和6,2024.0,3.0,13363.0,新島村,Niijima-mura,,27.54,12.52,1,13363.0,新島村,,2719.9,121.5,66.6,13.6,37.8,16.0,101.3,66.8,69.1,0.8,1904.9,402.0,1.39
令和6,2024.0,3.0,13364.0,神津島村,Kozushima-mura,,18.58,8.45,1,13364.0,神津島村,,1837.8,45.6,6.5,5.9,10.9,8.2,79.1,36.9,185.2,3.9,1012.3,486.1,0.59
令和6,2024.0,3.0,13381.0,三宅村,Miyake-mura,,55.26,25.12,1,13381.0,三宅村,,5523.5,138.8,90.2,90.2,7.2,24.5,162.0,118.0,93.9,27.1,2391.3,2588.5,0.13
令和6,2024.0,3.0,13382.0,御蔵島村,Mikurajima-mura,,20.39,9.27,1,13382.0,御蔵島村,,2039.0,9.6,1.2,1.2,3.2,0.7,20.1,15.1,28.7,0.6,1706.0,268.8,0.16
令和6,2024.0,3.0,13401.0,八丈町,Hachijo-machi,,72.24,32.84,1,13401.0,八丈町,,6906.6,351.0,36.0,31.9,67.9,82.3,308.0,218.9,837.5,8.8,4921.0,294.2,0.98
令和6,2024.0,3.0,13402.0,青ヶ島村,Aogashima-mura,,5.95,2.7,1,13402.0,青ヶ島村,,595.4,15.5,3.3,3.3,0.8,5.2,13.5,11.1,42.8,0.1,337.9,176.2,0.13
令和6,2024.0,3.0,13421.0,小笠原村,Ogasawara-mura,,113.04,51.38,1,13421.0,小笠原村,,4376.5,61.3,35.1,21.8,25.2,10.0,57.4,50.0,72.9,9.3,3614.6,490.6,0.58
