地域階層,地域コード,地域,District,マーク Mark,総数 Total,宅地 Residential,その他 Other use,その他 Other use／うち屋外利用地 of which are open air,公園等 Parks etc.,未利用地等 Unused land etc.,道路等 Roads and others,道路等 Roads and others／うち道路 of which are roads,農用地 Farm use ,水面河川水路 Water space， rivers and canals ,森林 Woods and forests,原野 Fields
1,13207,昭島市,Akishima-shi,,1714,857.1,65.4,65.1,167.6,64.7,261.7,242.7,64.9,53.5,33.9,145.2
1,13208,調布市,Chofu-shi,,2159.4,1248.5,48.9,48.3,181.9,37.3,369.7,334.3,120.2,48.1,40,64.9
1,13209,町田市,Machida-shi,,7159.6,3300.7,230.6,228.5,448.7,126.4,1048.9,1028.9,459,72.8,1267.2,205.4
1,13210,小金井市,Koganei-shi,,1132.3,730.2,21.5,21.2,100.3,14.5,181.2,169.7,61.1,12.4,8.5,2.6
1,13211,小平市,Kodaira-shi,,2045.4,1270.7,75.8,65.8,147.7,24,317.9,301.1,168.5,7.3,31.4,2.2
1,13212,日野市,Hino-shi,,2741.6,1289,90.5,89.3,147.9,75.9,461.1,428.4,128.4,85.7,180.8,282.1
1,13213,東村山市,Higashimurayama-shi,,1715.5,978,67.1,66,100.7,38.5,275.2,254.9,146.7,16.9,70.8,21.6
1,13214,国分寺市,Kokubunji-shi,,1153.9,719.6,41.1,40.7,32.3,21.4,181.6,170,128.5,2.4,23.2,3.9
1,13215,国立市,Kunitachi-shi,,815.9,513.6,28.4,26.7,21.9,13.7,151.8,145.5,53.6,9.3,6.7,16.9
1,13218,福生市,Fussa-shi,,1018.4,386,367.1,47.8,38.7,10.3,137.6,126.9,13.9,11.5,17.4,36
1,13219,狛江市,Komae-shi,,642.8,395.9,14.9,14.7,23.8,7,109.6,106.2,31.4,23.9,5.7,30.5
1,13220,東大和市,Higashiyamato-shi,,1353.4,579.5,51.7,48.6,91,35.5,191.9,188.8,61,147.5,193.3,2.2
1,13221,清瀬市,Kiyose-shi,,1012,519.9,30.8,29.8,34.4,25.8,153.7,145.1,186.7,7.9,35.6,17.1
1,13222,東久留米市,Higashikurume-shi,,1288.8,752.7,43.8,43.5,53.5,20.5,221.4,218.9,147.8,7.8,32.9,8.3
1,13223,武蔵村山市,Musashimurayama-shi,,1542.9,670.3,156.3,57.2,38.2,87.9,182.4,182.4,184,10.4,206.2,7.2
1,13224,多摩市,Tama-shi,,2107.3,932.5,68.2,67.2,303.5,53.6,403.7,386,33.8,40.6,139.6,131.9
1,13225,稲城市,Inagi-shi,,1797,576.8,184.4,55.6,278.3,107.6,264.2,248.5,121.4,27.5,175.3,61.4
1,13227,羽村市,Hamura-shi,,995.7,570.9,85.8,44.2,41.9,22.4,150.3,145.1,37.7,23.9,17.3,45.5
1,13228,あきる野市,Akiruno-shi,,7342.4,1010.2,157.4,102.6,287.8,101.2,363.9,355.4,457.2,142,4553.5,269
1,13229,西東京市,Nishitokyo-shi,,1590.9,1004.7,51.3,51.1,73.1,26.6,284.5,274.4,133.2,4.5,10.3,2.7
0,13300,郡部,All gun,,37561.2,1147.3,647.6,173.2,105.2,109.8,529.7,517.6,638,581.3,33643.6,158.7
