name,type,height,perimeter,width,route,route_name,route_nickname,route_type,longitude,latitude
クスノキ,高木,10,119,4,9,川崎府中線,多摩川通り,主要地方道,139.5026144,35.65873193
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5025888,35.6587409
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5025814,35.65874277
イチョウ,高木,9.5,128,4,9,川崎府中線,多摩川通り,主要地方道,139.5025702,35.64304564
クスノキ,高木,11,117,4,9,川崎府中線,多摩川通り,主要地方道,139.5025615,35.65900614
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5025574,35.65874737
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5025362,35.6587565
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5025309,35.65902077
マンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5025153,35.6590306
イチョウ,高木,10.5,104,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5025049,35.64326361
クスノキ,高木,11,133,4,9,川崎府中線,多摩川通り,主要地方道,139.5024937,35.65876551
クスノキ,高木,11,90,3,9,川崎府中線,多摩川通り,主要地方道,139.5024697,35.65903333
イチョウ,高木,10.5,131,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5024682,35.64308969
マンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5024575,35.65905284
イチョウ,高木,10.5,114,5.5,9,川崎府中線,多摩川通り,主要地方道,139.5024547,35.64328645
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5024426,35.65905172
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5024278,35.65905116
マンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5024206,35.65905021
クスノキ,高木,10,82,2,9,川崎府中線,多摩川通り,主要地方道,139.5023967,35.65886854
クスノキ,高木,11,112,3,9,川崎府中線,多摩川通り,主要地方道,139.5023721,35.65906009
クスノキ,高木,11,134,4,9,川崎府中線,多摩川通り,主要地方道,139.5023568,35.65880581
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5023543,35.65906693
イチョウ,高木,10.5,143,6,9,川崎府中線,多摩川通り,主要地方道,139.5023534,35.64314028
マンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5023385,35.65906929
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5023249,35.65907673
クスノキ,高木,9,92,3,9,川崎府中線,多摩川通り,主要地方道,139.5023155,35.65881649
イチョウ,高木,10.5,110,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5022927,35.64316992
クスノキ,高木,11,130,4,9,川崎府中線,多摩川通り,主要地方道,139.50229,35.65908772
クスノキ,高木,10,106,2,9,川崎府中線,多摩川通り,主要地方道,139.5022857,35.65889949
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5022682,35.65909344
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5022488,35.6590997
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5022244,35.65910402
クスノキ,高木,11,116,4,9,川崎府中線,多摩川通り,主要地方道,139.5021944,35.65911392
イチョウ,高木,10.5,123,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5021931,35.64321524
クスノキ,高木,10,110,2,9,川崎府中線,多摩川通り,主要地方道,139.5021829,35.65892881
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5021728,35.65911957
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5021643,35.65911875
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5021513,35.65912507
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5021382,35.65912734
イチョウ,高木,10.5,128,5,9,川崎府中線,多摩川通り,主要地方道,139.5021339,35.64324249
クスノキ,高木,11,141,4,9,川崎府中線,多摩川通り,主要地方道,139.5021032,35.65913443
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5020769,35.65914276
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5020538,35.65914699
イチョウ,高木,10.5,114,5,9,川崎府中線,多摩川通り,主要地方道,139.5020513,35.64327588
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5020354,35.65915263
イチョウ,高木,9,101,3,9,川崎府中線,多摩川通り,主要地方道,139.5020238,35.6434745
クスノキ,高木,11,132,4,9,川崎府中線,多摩川通り,主要地方道,139.5020032,35.65916221
イチョウ,高木,10.5,143,5.5,9,川崎府中線,多摩川通り,主要地方道,139.5019814,35.64330869
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5019763,35.65916822
クスノキ,高木,11,131,3,9,川崎府中線,多摩川通り,主要地方道,139.5019566,35.65898211
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5019524,35.65917584
クスノキ,高木,11,134,5,9,川崎府中線,多摩川通り,主要地方道,139.5019517,35.65892331
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5019146,35.65893338
イチョウ,高木,9,129,4,9,川崎府中線,多摩川通り,主要地方道,139.5019028,35.6435288
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5018941,35.6589386
イチョウ,高木,10.5,135,4,9,川崎府中線,多摩川通り,主要地方道,139.5018901,35.64335044
トキワマンサク,中木,2,0,0,9,川崎府中線,多摩川通り,主要地方道,139.5018719,35.65894687
クスノキ,高木,5,27,2,9,川崎府中線,多摩川通り,主要地方道,139.5018516,35.65920184
イチョウ,高木,10.5,140,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5018147,35.64338254
クスノキ,高木,9,103,4,9,川崎府中線,多摩川通り,主要地方道,139.5018013,35.65896663
イチョウ,高木,9,134,4,9,川崎府中線,多摩川通り,主要地方道,139.5017977,35.64357605
イチョウ,高木,10.5,143,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5017405,35.64341541
クスノキ,高木,10,121,4,9,川崎府中線,多摩川通り,主要地方道,139.5017397,35.65922686
イチョウ,高木,9,127,4,9,川崎府中線,多摩川通り,主要地方道,139.5016878,35.64362533
クスノキ,高木,12,167,4,9,川崎府中線,多摩川通り,主要地方道,139.5016312,35.65925285
イチョウ,高木,10.5,107,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5016234,35.64346681
イチョウ,高木,10.5,121,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5015946,35.64348329
イチョウ,高木,9,118,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5015865,35.64367039
イチョウ,高木,9,123,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5015414,35.6436903
クスノキ,高木,9,124,4,9,川崎府中線,多摩川通り,主要地方道,139.5015213,35.65903849
イチョウ,高木,8,7,3,9,川崎府中線,多摩川通り,主要地方道,139.5015078,35.6435153
イチョウ,高木,9,132,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5014531,35.64354534
イチョウ,高木,9,148,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5014457,35.64373384
イチョウ,高木,9,138,4,9,川崎府中線,多摩川通り,主要地方道,139.501349,35.64359077
イチョウ,高木,9,131,3,9,川崎府中線,多摩川通り,主要地方道,139.5013397,35.64378182
イチョウ,高木,9,141,4,9,川崎府中線,多摩川通り,主要地方道,139.5012914,35.64361304
イチョウ,高木,9,128,4,9,川崎府中線,多摩川通り,主要地方道,139.5012287,35.64363983
イチョウ,高木,9,116,4,9,川崎府中線,多摩川通り,主要地方道,139.5012176,35.64383539
クスノキ,高木,9,123,5,9,川崎府中線,多摩川通り,主要地方道,139.5011786,35.65933745
イチョウ,高木,9,144,4.5,9,川崎府中線,多摩川通り,主要地方道,139.5011218,35.64369597
クスノキ,高木,11,138,5,9,川崎府中線,多摩川通り,主要地方道,139.5010795,35.65935367
クスノキ,高木,11,134,5,9,川崎府中線,多摩川通り,主要地方道,139.500976,35.65937393
クスノキ,高木,9,126,4,9,川崎府中線,多摩川通り,主要地方道,139.5009248,35.6592232
イチョウ,高木,9,119,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5008818,35.64398568
クスノキ,高木,11,127,5,9,川崎府中線,多摩川通り,主要地方道,139.5008777,35.65938988
クスノキ,高木,10,145,4,9,川崎府中線,多摩川通り,主要地方道,139.5008448,35.65924331
イチョウ,高木,9,137,3.5,9,川崎府中線,多摩川通り,主要地方道,139.500816,35.64401327
クスノキ,高木,10,120,5,9,川崎府中線,多摩川通り,主要地方道,139.5007905,35.65940277
クスノキ,高木,10,131,4,9,川崎府中線,多摩川通り,主要地方道,139.5007232,35.65927264
イチョウ,高木,9,123,4,9,川崎府中線,多摩川通り,主要地方道,139.5007155,35.64385326
クスノキ,高木,10,116,5,9,川崎府中線,多摩川通り,主要地方道,139.5006768,35.6594221
イチョウ,高木,9,109,3,9,川崎府中線,多摩川通り,主要地方道,139.5006525,35.64388502
クスノキ,高木,10,131,5,9,川崎府中線,多摩川通り,主要地方道,139.5006086,35.6592955
イチョウ,高木,9,122,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5006033,35.6439269
クスノキ,高木,10,133,5,9,川崎府中線,多摩川通り,主要地方道,139.5005742,35.65943416
イチョウ,高木,9.5,118,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5005381,35.64395426
イチョウ,高木,9,108,3,9,川崎府中線,多摩川通り,主要地方道,139.5004514,35.64417986
ハナミズキ,高木,5,42,2.5,9,川崎府中線,多摩川通り,主要地方道,139.5004202,35.64419545
イチョウ,高木,9.5,115,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5003872,35.6440243
イチョウ,高木,9,124,3,9,川崎府中線,多摩川通り,主要地方道,139.5003794,35.64421155
クスノキ,高木,10,143,5,9,川崎府中線,多摩川通り,主要地方道,139.5003501,35.65935023
イチョウ,高木,10,121,3,9,川崎府中線,多摩川通り,主要地方道,139.5003176,35.64405268
イチョウ,高木,9,118,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5003013,35.64424728
イチョウ,高木,9,107,3,9,川崎府中線,多摩川通り,主要地方道,139.5002736,35.6440682
クスノキ,高木,9,108,4,9,川崎府中線,多摩川通り,主要地方道,139.5002528,35.65948803
イチョウ,高木,9,125,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5002441,35.64427331
ハナミズキ,高木,5,,2.5,9,川崎府中線,多摩川通り,主要地方道,139.5002079,35.64429109
イチョウ,高木,9,130,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5001839,35.64410609
イチョウ,高木,9,121,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5001705,35.64430575
クスノキ,高木,12,176,5,9,川崎府中線,多摩川通り,主要地方道,139.5001603,35.6593806
