年度末,End of fiscal year,地域階層,地域コード,地域,District,都市計画区域 City planning areas,市街化区域 Urbanization promotion areas,市街化調整区域 Urbanization control areas,用途地域 Use zoning／総数 Total,用途地域 Use zoning／第1種低層住居専用地域 Category 1 low-rise exclusive residential districts,用途地域 Use zoning／第2種低層住居専用地域 Category 2 low-rise exclusive residential districts,用途地域 Use zoning／第1種中高層住居専用地域 Category 1 mid-high rise exclusive residential districts,用途地域 Use zoning／第2種中高層住居専用地域 Category 2 mid-high rise exclusive residential districts,用途地域 Use zoning／第1種住居地域 Category 1 residential districts,用途地域 Use zoning／第2種住居地域 Category 2 residential districts,用途地域 Use zoning／準住居地域 Quasiresidential districts,用途地域 Use zoning／近隣商業地域 Neighborhood commercial districts,用途地域 Use zoning／商業地域 Commercial districts,用途地域 Use zoning／準工業地域 Quasiindustrial districts,用途地域 Use zoning／工業地域 Industrial districts,用途地域 Use zoning／工業専用地域 Exclusive industrial districts
令和5,2023,3,13118,荒川区,Arakawa-ku,1022.5,969.1,53.4,969.1,-,-,-,30.4,82.3,1,-,76.3,138,592,49.1,-
令和5,2023,3,13119,板橋区,Itabashi-ku,3209,3026.4,182.6,3026.4,190.4,-,1008.6,3.1,546.5,60.7,46.1,248.6,176.3,582.9,76.4,86.8
令和5,2023,3,13120,練馬区,Nerima-ku,4818.7,4818.7,-,4818.7,2756,-,837.8,-,548.6,55.3,83.4,301.7,93.5,139,3.4,-
令和5,2023,3,13121,足立区,Adachi-ku,5320,4823.3,496.7,4823.3,405.9,-,1140.7,87.1,1178.8,15.5,90.9,501.2,102.1,1120.3,167.3,13.5
令和5,2023,3,13122,葛飾区,Katsushika-ku,3480.6,3026.3,454.3,3026.3,210.3,389.9,409.2,-,719.6,50.4,-,119.7,134.8,752.4,240,-
令和5,2023,3,13123,江戸川区,Edogawa-ku,4990,4090.4,899.6,4090.4,65.6,-,1262.9,74,1515.6,-,-,255.9,140.8,658.8,116.8,-
令和5,2023,1,,市郡部,All shi and gun,82864,49880.1,32984.9,53287.3,29513.9,211.4,8681.6,2624.3,2098.7,970.1,1070.1,1756,911.9,3716,1428.8,304.5
令和5,2023,2,,八王子都市計画,Hachioji city planning,18631,8151,10481,9932.5,5649.4,6.4,1502.7,416.8,305.1,192.4,197,285,121.3,1062.8,132.9,60.7
令和5,2023,3,13201,八王子市,Hachioji-shi,18631,8151,10481,9932.5,5649.4,6.4,1502.7,416.8,305.1,192.4,197,285,121.3,1062.8,132.9,60.7
令和5,2023,2,,立川都市計画,Tachikawa city planning,5324.7,4239.1,1085.6,4870.8,2772.7,2.4,729.8,112.4,292.2,56,63.6,98.4,156.9,207.8,378.6,-
令和5,2023,3,13202,立川市,Tachikawa-shi,2433.7,2079.1,354.6,2079.1,887,-,419.3,37.4,188.7,41.7,-,40.9,127.7,205.4,131,-
令和5,2023,3,13220,東大和市,Higashiyamato-shi,1354,989,365,1354,931.1,-,144.8,59.6,66,5.8,30.4,33.6,8.4,2.4,71.9,-
令和5,2023,3,13223,武蔵村山市,Musashimurayama-shi,1537,1171,366,1437.7,954.6,2.4,165.7,15.4,37.5,8.5,33.2,23.9,20.8,-,175.7,-
令和5,2023,2,,武蔵野都市計画,Musashino city planning,1073,1073,-,1073,551.1,2,198,33.7,91.2,26.9,-,77.9,57.3,34.9,-,-
令和5,2023,3,13203,武蔵野市,Musashino-shi,1073,1073,-,1073,551.1,2,198,33.7,91.2,26.9,-,77.9,57.3,34.9,-,-
令和5,2023,2,,三鷹都市計画,Mitaka city planning,1650,1650,-,1650,1054.3,-,229.8,31.3,145.4,3.3,15.3,57.8,24.7,61.7,26.4,-
令和5,2023,3,13204,三鷹市,Mitaka-shi,1650,1650,-,1650,1054.3,-,229.8,31.3,145.4,3.3,15.3,57.8,24.7,61.7,26.4,-
令和5,2023,2,,青梅都市計画,Ome city planning,10326,2233.3,8092.7,2252.4,848.7,64,362.7,49.9,294.4,20.4,-,109.6,26.5,262.4,157.3,56.5
令和5,2023,3,13205,青梅市,Ome-shi,10326,2233.3,8092.7,2252.4,848.7,64,362.7,49.9,294.4,20.4,-,109.6,26.5,262.4,157.3,56.5
令和5,2023,2,,府中都市計画,Fuchu city planning,2934,2725,209,2725.2,1172.7,15,611.2,53.1,109.1,128.8,80.6,128.4,55.8,222.6,147.9,-
令和5,2023,3,13206,府中市,Fuchu-shi,2934,2725,209,2725.2,1172.7,15,611.2,53.1,109.1,128.8,80.6,128.4,55.8,222.6,147.9,-
令和5,2023,2,,昭島都市計画,Akishima city planning,1715,1397,318,1440.2,578,-,269,11.8,55.4,55.2,49.3,67.6,17,314.5,22.4,-
令和5,2023,3,13207,昭島市,Akishima-shi,1715,1397,318,1440.2,578,-,269,11.8,55.4,55.2,49.3,67.6,17,314.5,22.4,-
令和5,2023,2,,調布都市計画,Chofu city planning,2792,2630,162,2630,1523.4,-,459.5,45.4,159.7,11.3,39.7,141.6,42.9,206.5,-,-
令和5,2023,3,13208,調布市,Chofu-shi,2153,2048,105,2048,1149.3,-,355.3,45.1,123.8,11.3,39.7,100.2,41.7,181.6,-,-
令和5,2023,3,13219,狛江市,Komae-shi,639,582,57,582,374.1,-,104.2,0.3,35.9,-,-,41.4,1.2,24.9,-,-
令和5,2023,2,,町田都市計画,Machida city planning,7165,5481,1684,5663.5,3604.4,11.6,586,505.8,31.4,119,203.7,138.9,68.9,369.9,23.9,-
令和5,2023,3,13209,町田市,Machida-shi,7165,5481,1684,5663.5,3604.4,11.6,586,505.8,31.4,119,203.7,138.9,68.9,369.9,23.9,-
令和5,2023,2,,小金井都市計画,Koganei city planning,1133,1133,-,1133,738,0.5,229.9,7.9,93.5,-,-,30.2,20,13,-,-
令和5,2023,3,13210,小金井市,Koganei-shi,1133,1133,-,1133,738,0.5,229.9,7.9,93.5,-,-,30.2,20,13,-,-
令和5,2023,2,,小平都市計画,Kodaira city planning,2045.5,2045.5,-,2045.5,1177.3,6,418.6,167.8,54.2,19.8,14,30.2,36.4,71,50.2,-
令和5,2023,3,13211,小平市,Kodaira-shi,2045.5,2045.5,-,2045.5,1177.3,6,418.6,167.8,54.2,19.8,14,30.2,36.4,71,50.2,-
令和5,2023,2,,日野都市計画,Hino city planning,2753,2244,509,2391,1442,-,254,239.8,6.6,65,42.9,65.1,26.1,101,148.5,-
令和5,2023,3,13212,日野市,Hino-shi,2753,2244,509,2391,1442,-,254,239.8,6.6,65,42.9,65.1,26.1,101,148.5,-
令和5,2023,2,,東村山都市計画,Higashimurayama city planning,4028,3994.8,33.2,4028,2395.4,17.4,812.8,250.1,62.4,56.8,34.1,114.7,54.5,229.8,-,-
令和5,2023,3,13213,東村山市,Higashimurayama-shi,1717,1696,21,1717,1014.7,13.4,342.9,72.5,51.5,10.8,20.6,54.6,27,109,-,-
令和5,2023,3,13221,清瀬市,Kiyose-shi,1019,1019,-,1019,570.5,-,265.9,74.4,-,14.7,-,21.2,16.7,55.6,-,-
令和5,2023,3,13222,東久留米市,Higashikurume-shi,1292,1279.8,12.2,1292,810.2,4,204,103.2,10.9,31.3,13.5,38.9,10.8,65.2,-,-
令和5,2023,2,,国分寺都市計画,Kokubunji city planning,1148,1148,-,1148,748.5,16.7,75.4,52.1,104.6,34.6,-,31.3,36.7,48.1,-,-
令和5,2023,3,13214,国分寺市,Kokubunji-shi,1148,1148,-,1148,748.5,16.7,75.4,52.1,104.6,34.6,-,31.3,36.7,48.1,-,-
令和5,2023,2,,国立都市計画,Kunitachi city planning,815.8,797.2,18.6,797.2,365.7,0.2,167.5,46.1,39.7,7.1,-,34.1,9.9,126.9,-,-
令和5,2023,3,13215,国立市,Kunitachi-shi,815.8,797.2,18.6,797.2,365.7,0.2,167.5,46.1,39.7,7.1,-,34.1,9.9,126.9,-,-
令和5,2023,2,,福生都市計画,Fussa city planning,3698,2224,1474,2627.7,1244.9,27.6,445.8,61.8,96.8,11.3,50.4,110,31.7,114.2,245.9,187.3
令和5,2023,3,13218,福生市,Fussa-shi,1024,663,361,663.3,290.5,16,134.4,29.6,44.1,11.3,0.1,56,21.9,47.1,12.3,-
令和5,2023,3,13227,羽村市,Hamura-shi,991,814,177,814,220.6,-,288.3,32.2,25.4,-,-,39.7,6.8,36.7,15,149.3
令和5,2023,3,13303,瑞穂町,Mizuho-machi,1683,747,936,1150.4,733.8,11.6,23.1,-,27.3,-,50.3,14.3,3,30.4,218.6,38
令和5,2023,2,,多摩都市計画,Tama city planning,3905,3600.2,304.8,3765.7,1767.1,7,815.4,442.1,39.7,138.7,177.3,127.6,81,159.4,10.4,-
令和5,2023,3,13224,多摩市,Tama-shi,2108,2019,89,2019,662.9,-,638,302.5,10.5,113.6,117.2,51.8,68.1,54.4,-,-
令和5,2023,3,13225,稲城市,Inagi-shi,1797,1581.2,215.8,1746.7,1104.2,7,177.4,139.6,29.2,25.1,60.1,75.8,12.9,105,10.4,-
令和5,2023,2,,秋多都市計画,Akita city planning,10142,1529,8613,1528.6,1053.4,28.5,139.6,32.9,52.3,12.9,33.8,36.2,17.7,58.8,62.5,-
令和5,2023,3,13228,あきる野市,Akiruno-shi,7334,1198,6136,1198,836.2,21.8,105.6,28.4,38.1,12.9,33.8,36.2,2.6,58.7,23.7,-
令和5,2023,3,13305,日の出町,Hinode-machi,2808,331,2477,330.6,217.2,6.7,34,4.5,14.2,-,-,-,15.1,0.1,38.8,-
令和5,2023,2,,西東京都市計画,Nishitokyo city planning,1585,1585,-,1585,826.9,6.1,373.9,63.5,65,10.6,68.4,71.4,26.6,50.7,21.9,-
令和5,2023,3,13229,西東京市,Nishitokyo-shi,1585,1585,-,1585,826.9,6.1,373.9,63.5,65,10.6,68.4,71.4,26.6,50.7,21.9,-
令和5,2023,1,13350,島部,All islands,30026,-,-,102.4,-,-,-,-,78.4,-,-,-,24,-,-,-
令和5,2023,2,,大島都市計画,Oshima city planning,9076,-,-,102.4,-,-,-,-,78.4,-,-,-,24,-,-,-
令和5,2023,3,13361,大島町,Oshima-machi,9076,-,-,102.4,-,-,-,-,78.4,-,-,-,24,-,-,-
令和5,2023,2,,新島都市計画,Niijima city planning,2322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,3,13363,新島村,Niijima-mura,2322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,2,,神津都市計画,Kozu city planning,1858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,3,13364,神津島村,Kozushima-mura,1858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,2,,三宅都市計画,Miyake city planning,5526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,3,13381,三宅村,Miyake-mura,5526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,2,,八丈都市計画,Hachijo city planning,6911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,3,13401,八丈町,Hachijo-machi,6911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,2,,小笠原都市計画,Ogasawara city planning,4333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和5,2023,3,13421,小笠原村,Ogasawara-mura,4333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,
1-4 都市計画区域別土地利用面積 1-4 LAND USE BY CITY PLANNING AREAS,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省「都市計画現況調査」 Source:  Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市郡部・島部　2:都市計画　3:区市町村),,,,,,,,,,,,,,,,,,,,,
（単位  ヘクタール）（In hectare）,,,,,,,,,,,,,,,,,,,,,
